"NAICS 2017","NAICS 2022","NACE Rev. 2","CodeChange","Redundancy","NoMatchToAStar","NoMatchToB","NoMatchFromAStar","NoMatchFromB","LabelChange","NAICS 2017_2017 NAICS US Title","NAICS 2017_Seq. No.","NAICS 2022_2022 NAICS US Title","NAICS 2022_Seq. No.","NACE Rev. 2_Name","NACE Rev. 2_Include","NACE Rev. 2_IncludeAlso","NACE Rev. 2_Exclude","NACE Rev. 2_URI","NAICS 2017 - NAICS 2022_2017 NAICS Title","NAICS 2017 - NAICS 2022_2022 NAICS Title","NAICS 2017 - NAICS 2022_Change Indicator","NAICS 2017 - NACE Rev. 2_NACE Rev. 2","NAICS 2017 - NACE Rev. 2_US NAICS 2017","NAICS 2017 - NACE Rev. 2_Notes"
"237310","237310","42.11","0","0","0","0","0","0","0","Highway, Street, and Bridge Construction ","231","Highway, Street, and Bridge Construction ","224","Construction of roads and motorways","This class includes:
- construction of motorways, streets, roads, other vehicular and pedestrian ways
- surface work on streets, roads, highways, bridges or tunnels:
  • asphalt paving of roads
  • road painting and other marking
  • installation of crash barriers, traffic signs and the like
- construction of airfield runways","","This class excludes:
- installation of street lighting and electrical signals, see 43.21
- architectural and engineering activities, see 71.1
- project management for construction, see 71.1","4211","Highway, Street, and Bridge Construction","Highway, Street, and Bridge Construction","","Construction of roads and motorways","Highway, Street, and Bridge Construction","Except traffic signaling and highway lighting installation contractors"
"237310","237310","42.13","0","0","0","0","0","0","0","Highway, Street, and Bridge Construction ","231","Highway, Street, and Bridge Construction ","224","Construction of bridges and tunnels","This class includes:
- construction of bridges, including those for elevated highways 
- construction of tunnels","","This class excludes:
- installation of lighting and electrical signals, see 43.21
- architectural and engineering activities, see 71.1
- project management for construction, see 71.1","4213","Highway, Street, and Bridge Construction","Highway, Street, and Bridge Construction","","Construction of bridges and tunnels","Highway, Street, and Bridge Construction","Except traffic signaling and highway lighting installation contractors"
"237310","237310","43.21","0","0","0","0","0","0","0","Highway, Street, and Bridge Construction ","231","Highway, Street, and Bridge Construction ","224","Electrical installation","This class includes the installation of electrical systems in all kinds of buildings and civil engineering structures of electrical systems.

This class includes:
- installation of:
  • electrical wiring and fittings
  • telecommunications wiring
  • computer network and cable television wiring, including fibre optic
  • satellite dishes
  • lighting systems
  • fire alarms
  • burglar alarm systems
  • street lighting and electrical signals
  • airport runway lighting
  • electric solar energy collectors","This class also includes:
- connecting of electric appliances and household equipment, including baseboard heating","This class excludes:
- construction of communications and power transmission lines, see 42.22
- monitoring and remote monitoring of electronic security systems, such as burglar alarms and fire alarms, including their installation and maintenance, see 80.20","4321","Highway, Street, and Bridge Construction","Highway, Street, and Bridge Construction","","Electrical installation","Highway, Street, and Bridge Construction","Traffic signaling and lighting installation contractors (if they are specialized in this activity only)"
"2379","2379","","0","0","0","1","0","","0","Other Heavy and Civil Engineering Construction","232","Other Heavy and Civil Engineering Construction","225","","","","","","Other Heavy and Civil Engineering ConstructionT","Other Heavy and Civil Engineering ConstructionT","","","",""
"23799","23799","","0","0","0","1","0","","0","Other Heavy and Civil Engineering Construction","233","Other Heavy and Civil Engineering Construction","226","","","","","","Other Heavy and Civil Engineering ConstructionT","Other Heavy and Civil Engineering ConstructionT","","","",""
"237990","237990","42.11","0","0","0","0","0","0","0","Other Heavy and Civil Engineering Construction ","234","Other Heavy and Civil Engineering Construction ","227","Construction of roads and motorways","This class includes:
- construction of motorways, streets, roads, other vehicular and pedestrian ways
- surface work on streets, roads, highways, bridges or tunnels:
  • asphalt paving of roads
  • road painting and other marking
  • installation of crash barriers, traffic signs and the like
- construction of airfield runways","","This class excludes:
- installation of street lighting and electrical signals, see 43.21
- architectural and engineering activities, see 71.1
- project management for construction, see 71.1","4211","Other Heavy and Civil Engineering Construction","Other Heavy and Civil Engineering Construction","","Construction of roads and motorways","Other Heavy and Civil Engineering Construction","Road painting and other marking;  installation of crash barriers"
"237990","237990","42.12","0","0","0","0","0","0","0","Other Heavy and Civil Engineering Construction ","234","Other Heavy and Civil Engineering Construction ","227","Construction of railways and underground railways","This class includes:
- construction of railways and subways","","This class excludes:
- installation of lighting and electrical signals, see 43.21
- architectural and engineering activities, see 71.1
- project management for construction, see 71.1","4212","Other Heavy and Civil Engineering Construction","Other Heavy and Civil Engineering Construction","","Construction of railways and underground railways","Other Heavy and Civil Engineering Construction","Construction of subways and railroads"
"237990","237990","42.13","0","0","0","0","0","0","0","Other Heavy and Civil Engineering Construction ","234","Other Heavy and Civil Engineering Construction ","227","Construction of bridges and tunnels","This class includes:
- construction of bridges, including those for elevated highways 
- construction of tunnels","","This class excludes:
- installation of lighting and electrical signals, see 43.21
- architectural and engineering activities, see 71.1
- project management for construction, see 71.1","4213","Other Heavy and Civil Engineering Construction","Other Heavy and Civil Engineering Construction","","Construction of bridges and tunnels","Other Heavy and Civil Engineering Construction","Construction of tunnels"
"237990","237990","42.22","0","0","0","0","0","0","0","Other Heavy and Civil Engineering Construction ","234","Other Heavy and Civil Engineering Construction ","227","Construction of utility projects for electricity and telecommunications","This class includes the construction of distribution lines for electricity and telecommunications and related buildings and structures that are integral part of these systems.

This class includes:
- construction of civil engineering constructions for:
  • long-distance and urban communication and power lines
  • power plants","","This class excludes:
- project management activities related to civil engineering works, see 71.12","4222","Other Heavy and Civil Engineering Construction","Other Heavy and Civil Engineering Construction","","Construction of utility projects for electricity and telecommunications","Other Heavy and Civil Engineering Construction","Construction of hydroelectric generating facilities"
"237990","237990","42.91","0","0","0","0","0","0","0","Other Heavy and Civil Engineering Construction ","234","Other Heavy and Civil Engineering Construction ","227","Construction of water projects","This class includes:
- construction of:
  • waterways, harbour and river works, pleasure ports (marinas), locks, etc.
  • dams and dykes
- dredging of waterways","","This class excludes:
- project management activities related to civil engineering works, see 71.12","4291","Other Heavy and Civil Engineering Construction","Other Heavy and Civil Engineering Construction","","Construction of water projects","Other Heavy and Civil Engineering Construction","Marine construction projects"
"237990","237990","42.99","0","0","0","0","0","0","0","Other Heavy and Civil Engineering Construction ","234","Other Heavy and Civil Engineering Construction ","227","Construction of other civil engineering projects n.e.c.","This class includes:
- construction of industrial facilities, except buildings, such as:
  • refineries
  • chemical plants
- construction work, other than buildings, such as:
  • outdoor sports facilities","This class also includes:
- land subdivision with land improvement (e.g. adding of roads, utility infrastructure etc.)","This class excludes:
- installation of industrial machinery and equipment, see 33.20
- land subdivision without land improvement, see 68.10
- project management activities related to civil engineering works, see 71.12","4299","Other Heavy and Civil Engineering Construction","Other Heavy and Civil Engineering Construction","","Construction of other civil engineering projects n.e.c.","Other Heavy and Civil Engineering Construction","Ski lift construction, outdoor recreational facility construction including athletic fields, golf courses, playgrounds, tennis courts, and similar"
"237990","237990","43.12","0","0","0","0","0","0","0","Other Heavy and Civil Engineering Construction ","234","Other Heavy and Civil Engineering Construction ","227","Site preparation","This class includes:
- clearing of building sites
- earth moving: excavation, landfill, levelling and grading of construction sites, trench digging, rock removal, blasting, etc.","This class also includes:
- site preparation for mining:
  • overburden removal and other development and preparation of mineral properties and sites, except oil and gas sites
- building site drainage
- drainage of agricultural or forestry land","This class excludes:
- drilling of production oil or gas wells, see 06.10, 06.20
- decontamination of soil, see 39.00
- water well drilling, see 42.21
- shaft sinking, see 43.99","4312","Other Heavy and Civil Engineering Construction","Other Heavy and Civil Engineering Construction","","Site preparation","Other Heavy and Civil Engineering Construction","Drainage projects (such as urban storm water runoff control systems), soil stabilization using anchored earth procedures"
"237990","237990","43.13","0","0","0","0","0","0","0","Other Heavy and Civil Engineering Construction ","234","Other Heavy and Civil Engineering Construction ","227","Test drilling and boring","This class includes:
- test drilling, test boring and core sampling for construction, geophysical, geological or similar purposes","","This class excludes:
- drilling of production oil or gas wells, see 06.10, 06.20
- test drilling and boring support services during mining activities, see 09.90
- water well drilling, see 42.21
- shaft sinking, see 43.99
- oil and gas field exploration, geophysical, geological and seismic surveying, see 71.12","4313","Other Heavy and Civil Engineering Construction","Other Heavy and Civil Engineering Construction","","Test drilling and boring","Other Heavy and Civil Engineering Construction","Microtunneling (horizontal drilling to install cables, conduit, drains, and similar)"
"238","238","","0","0","0","1","0","","0","Specialty Trade Contractors","235","Specialty Trade Contractors","228","","","","","","Specialty Trade ContractorsT","Specialty Trade ContractorsT","","","",""
"2381","2381","","0","0","0","1","0","","0","Foundation, Structure, and Building Exterior Contractors","236","Foundation, Structure, and Building Exterior Contractors","229","","","","","","Foundation, Structure, and Building Exterior ContractorsT","Foundation, Structure, and Building Exterior ContractorsT","","","",""
"23811","23811","","0","0","0","1","0","","0","Poured Concrete Foundation and Structure Contractors ","237","Poured Concrete Foundation and Structure Contractors ","230","","","","","","Poured Concrete Foundation and Structure Contractors","Poured Concrete Foundation and Structure Contractors","","","",""
"238110","238110","43.99","0","0","0","0","0","0","0","Poured Concrete Foundation and Structure Contractors ","238","Poured Concrete Foundation and Structure Contractors ","231","Other specialised construction activities n.e.c.","This class includes:
- construction activities specialising in one aspect common to different kind of structures, requiring specialised skill or equipment:
  • construction of foundations, including pile driving
  • damp proofing and water proofing works
  • de-humidification of buildings
  • shaft sinking
  • erection of steel elements
  • steel bending
  • bricklaying and stone setting
  • scaffolds and work platform erecting and dismantling, excluding rental of scaffolds and work platforms
  • erection of chimneys and industrial ovens
  • work with specialist access requirements necessitating climbing skills and the use of related equipment, e.g. working at height on tall structures
- subsurface work
- construction of outdoor swimming pools
- steam cleaning, sand blasting and similar activities for building exteriors
- rental of cranes and other building equipment, which cannot be allocated to a specific construction type, with operator","","This class excludes:
- rental of construction machinery and equipment without operator, see 77.32","4399","Poured Concrete Foundation and Structure Contractors","Poured Concrete Foundation and Structure Contractors","","Other specialised construction activities n.e.c.","Poured Concrete Foundation and Structure Contractors",""
"23812","23812","","0","0","0","1","0","","0","Structural Steel and Precast Concrete Contractors ","239","Structural Steel and Precast Concrete Contractors ","232","","","","","","Structural Steel and Precast Concrete Contractors","Structural Steel and Precast Concrete Contractors","","","",""
"238120","238120","43.99","0","0","0","0","0","0","0","Structural Steel and Precast Concrete Contractors ","240","Structural Steel and Precast Concrete Contractors ","233","Other specialised construction activities n.e.c.","This class includes:
- construction activities specialising in one aspect common to different kind of structures, requiring specialised skill or equipment:
  • construction of foundations, including pile driving
  • damp proofing and water proofing works
  • de-humidification of buildings
  • shaft sinking
  • erection of steel elements
  • steel bending
  • bricklaying and stone setting
  • scaffolds and work platform erecting and dismantling, excluding rental of scaffolds and work platforms
  • erection of chimneys and industrial ovens
  • work with specialist access requirements necessitating climbing skills and the use of related equipment, e.g. working at height on tall structures
- subsurface work
- construction of outdoor swimming pools
- steam cleaning, sand blasting and similar activities for building exteriors
- rental of cranes and other building equipment, which cannot be allocated to a specific construction type, with operator","","This class excludes:
- rental of construction machinery and equipment without operator, see 77.32","4399","Structural Steel and Precast Concrete Contractors","Structural Steel and Precast Concrete Contractors","","Other specialised construction activities n.e.c.","Structural Steel and Precast Concrete Contractors",""
"23813","23813","","0","0","0","1","0","","0","Framing Contractors ","241","Framing Contractors ","234","","","","","","Framing Contractors","Framing Contractors","","","",""
"238130","238130","43.99","0","0","0","0","0","0","0","Framing Contractors ","242","Framing Contractors ","235","Other specialised construction activities n.e.c.","This class includes:
- construction activities specialising in one aspect common to different kind of structures, requiring specialised skill or equipment:
  • construction of foundations, including pile driving
  • damp proofing and water proofing works
  • de-humidification of buildings
  • shaft sinking
  • erection of steel elements
  • steel bending
  • bricklaying and stone setting
  • scaffolds and work platform erecting and dismantling, excluding rental of scaffolds and work platforms
  • erection of chimneys and industrial ovens
  • work with specialist access requirements necessitating climbing skills and the use of related equipment, e.g. working at height on tall structures
- subsurface work
- construction of outdoor swimming pools
- steam cleaning, sand blasting and similar activities for building exteriors
- rental of cranes and other building equipment, which cannot be allocated to a specific construction type, with operator","","This class excludes:
- rental of construction machinery and equipment without operator, see 77.32","4399","Framing Contractors","Framing Contractors","","Other specialised construction activities n.e.c.","Framing Contractors",""
"23814","23814","","0","0","0","1","0","","0","Masonry Contractors ","243","Masonry Contractors ","236","","","","","","Masonry Contractors","Masonry Contractors","","","",""
"238140","238140","43.31","0","0","0","0","0","0","0","Masonry Contractors ","244","Masonry Contractors ","237","Plastering","This class includes:
- application in buildings or other construction projects of interior and exterior plaster or stucco, including related lathing materials","","","4331","Masonry Contractors","Masonry Contractors","","Plastering","Masonry Contractors","Stucco contractors"
"238140","238140","43.99","0","0","0","0","0","0","0","Masonry Contractors ","244","Masonry Contractors ","237","Other specialised construction activities n.e.c.","This class includes:
- construction activities specialising in one aspect common to different kind of structures, requiring specialised skill or equipment:
  • construction of foundations, including pile driving
  • damp proofing and water proofing works
  • de-humidification of buildings
  • shaft sinking
  • erection of steel elements
  • steel bending
  • bricklaying and stone setting
  • scaffolds and work platform erecting and dismantling, excluding rental of scaffolds and work platforms
  • erection of chimneys and industrial ovens
  • work with specialist access requirements necessitating climbing skills and the use of related equipment, e.g. working at height on tall structures
- subsurface work
- construction of outdoor swimming pools
- steam cleaning, sand blasting and similar activities for building exteriors
- rental of cranes and other building equipment, which cannot be allocated to a specific construction type, with operator","","This class excludes:
- rental of construction machinery and equipment without operator, see 77.32","4399","Masonry Contractors","Masonry Contractors","","Other specialised construction activities n.e.c.","Masonry Contractors","Except stucco installation contractors"
"23815","23815","","0","0","0","1","0","","0","Glass and Glazing Contractors ","245","Glass and Glazing Contractors ","238","","","","","","Glass and Glazing Contractors","Glass and Glazing Contractors","","","",""
"238150","238150","43.34","0","0","0","0","0","0","0","Glass and Glazing Contractors ","246","Glass and Glazing Contractors ","239","Painting and glazing","This class includes:
- interior and exterior painting of buildings
- painting of civil engineering structures
- installation of glass, mirrors, etc.","","This class excludes:
- installation of windows, see 43.32","4334","Glass and Glazing Contractors","Glass and Glazing Contractors","","Painting and glazing","Glass and Glazing Contractors",""
"23816","23816","","0","0","0","1","0","","0","Roofing Contractors ","247","Roofing Contractors ","240","","","","","","Roofing Contractors","Roofing Contractors","","","",""
"238160","238160","43.91","0","0","0","0","0","0","0","Roofing Contractors ","248","Roofing Contractors ","241","Roofing activities","This class includes:
- erection of roofs
- roof covering","","This class excludes:
- rental of construction machinery and equipment without operator, see 77.32","4391","Roofing Contractors","Roofing Contractors","","Roofing activities","Roofing Contractors",""
"23817","23817","","0","0","0","1","0","","0","Siding Contractors ","249","Siding Contractors ","242","","","","","","Siding Contractors","Siding Contractors","","","",""
"238170","238170","43.91","0","0","0","0","0","0","0","Siding Contractors ","250","Siding Contractors ","243","Roofing activities","This class includes:
- erection of roofs
- roof covering","","This class excludes:
- rental of construction machinery and equipment without operator, see 77.32","4391","Siding Contractors","Siding Contractors","","Roofing activities","Siding Contractors",""
"23819","23819","","0","0","0","1","0","","0","Other Foundation, Structure, and Building Exterior Contractors ","251","Other Foundation, Structure, and Building Exterior Contractors ","244","","","","","","Other Foundation, Structure, and Building Exterior Contractors","Other Foundation, Structure, and Building Exterior Contractors","","","",""
"238190","238190","43.99","0","0","0","0","0","0","0","Other Foundation, Structure, and Building Exterior Contractors ","252","Other Foundation, Structure, and Building Exterior Contractors ","245","Other specialised construction activities n.e.c.","This class includes:
- construction activities specialising in one aspect common to different kind of structures, requiring specialised skill or equipment:
  • construction of foundations, including pile driving
  • damp proofing and water proofing works
  • de-humidification of buildings
  • shaft sinking
  • erection of steel elements
  • steel bending
  • bricklaying and stone setting
  • scaffolds and work platform erecting and dismantling, excluding rental of scaffolds and work platforms
  • erection of chimneys and industrial ovens
  • work with specialist access requirements necessitating climbing skills and the use of related equipment, e.g. working at height on tall structures
- subsurface work
- construction of outdoor swimming pools
- steam cleaning, sand blasting and similar activities for building exteriors
- rental of cranes and other building equipment, which cannot be allocated to a specific construction type, with operator","","This class excludes:
- rental of construction machinery and equipment without operator, see 77.32","4399","Other Foundation, Structure, and Building Exterior Contractors","Other Foundation, Structure, and Building Exterior Contractors","","Other specialised construction activities n.e.c.","Other Foundation, Structure, and Building Exterior Contractors","Except building fireproofing contractors"
"2382","2382","","0","0","0","1","0","","0","Building Equipment Contractors","253","Building Equipment Contractors","246","","","","","","Building Equipment ContractorsT","Building Equipment ContractorsT","","","",""
"23821","23821","","0","0","0","1","0","","0","Electrical Contractors and Other Wiring Installation Contractors","254","Electrical Contractors and Other Wiring Installation Contractors","247","","","","","","Electrical Contractors and Other Wiring Installation ContractorsT","Electrical Contractors and Other Wiring Installation ContractorsT","","","",""
"238210","238210","43.21","0","0","0","0","0","0","0","Electrical Contractors and Other Wiring Installation Contractors","255","Electrical Contractors and Other Wiring Installation Contractors","248","Electrical installation","This class includes the installation of electrical systems in all kinds of buildings and civil engineering structures of electrical systems.

This class includes:
- installation of:
  • electrical wiring and fittings
  • telecommunications wiring
  • computer network and cable television wiring, including fibre optic
  • satellite dishes
  • lighting systems
  • fire alarms
  • burglar alarm systems
  • street lighting and electrical signals
  • airport runway lighting
  • electric solar energy collectors","This class also includes:
- connecting of electric appliances and household equipment, including baseboard heating","This class excludes:
- construction of communications and power transmission lines, see 42.22
- monitoring and remote monitoring of electronic security systems, such as burglar alarms and fire alarms, including their installation and maintenance, see 80.20","4321","Electrical Contractors and Other Wiring Installation Contractors","Electrical Contractors and Other Wiring Installation Contractors","","Electrical installation","Electrical Contractors",""
"23822","23822","","0","0","0","1","0","","0","Plumbing, Heating, and Air-Conditioning Contractors","256","Plumbing, Heating, and Air-Conditioning Contractors","249","","","","","","Plumbing, Heating, and Air-Conditioning ContractorsT","Plumbing, Heating, and Air-Conditioning ContractorsT","","","",""
"238220","238220","33.20","0","0","0","0","0","0","0","Plumbing, Heating, and Air-Conditioning Contractors ","257","Plumbing, Heating, and Air-Conditioning Contractors ","250","Installation of industrial machinery and equipment","This class includes the specialised installation of machinery. However, the installation of equipment that forms an integral part of buildings or similar structures, such as installation of escalators, electrical wiring, burglar alarm systems or air-conditioning systems, is classified as construction.

This class includes:
- installation of industrial machinery in industrial plant
- installation and assembly of industrial process control equipment
- installation of other industrial equipment, e.g.:
  • communications equipment
  • mainframe and similar computers
  • irradiation and electromedical equipment etc.
- dismantling large-scale machinery and equipment
- activities of millwrights
- machine rigging
- installation of bowling alley equipment","","This class excludes:
- installation of elevators, escalators, automated doors, vacuum cleaning systems etc., see 43.29
- installation of doors, staircases, shop fittings, furniture etc., see 43.32
- installation (setting-up) of personal computers, see 62.09","3320","Plumbing, Heating, and Air-Conditioning Contractors","Plumbing, Heating, and Air-Conditioning Contractors","","Installation of industrial machinery and equipment","Plumbing, Heating, and Air-Conditioning Contractors","Industrial furnace and power boiler installation"
"238220","238220","43.22","0","0","0","0","0","0","0","Plumbing, Heating, and Air-Conditioning Contractors ","257","Plumbing, Heating, and Air-Conditioning Contractors ","250","Plumbing, heat and air conditioning installation","This class includes the installation of plumbing, heating and air-conditioning systems, including additions, alterations, maintenance and repair.

This class includes:
- installation in buildings or other construction projects of:
  • heating systems (electric, gas and oil)
  • furnaces, cooling towers
  • non-electric solar energy collectors
  • plumbing and sanitary equipment
  • ventilation and air-conditioning equipment and ducts
  • gas fittings
  • steam piping
  • fire sprinkler systems
  • lawn sprinkler systems
- duct work installation","","This class excludes:
- installation of electric baseboard heating, see 43.21","4322","Plumbing, Heating, and Air-Conditioning Contractors","Plumbing, Heating, and Air-Conditioning Contractors","","Plumbing, heat and air-conditioning installation","Plumbing, Heating, and Air-Conditioning Contractors","Except boiler chipping, cleaning, and scaling; industrial furnace and power boiler installation; chimney liner installation"
"238220","238220","43.99","0","0","0","0","0","0","0","Plumbing, Heating, and Air-Conditioning Contractors ","257","Plumbing, Heating, and Air-Conditioning Contractors ","250","Other specialised construction activities n.e.c.","This class includes:
- construction activities specialising in one aspect common to different kind of structures, requiring specialised skill or equipment:
  • construction of foundations, including pile driving
  • damp proofing and water proofing works
  • de-humidification of buildings
  • shaft sinking
  • erection of steel elements
  • steel bending
  • bricklaying and stone setting
  • scaffolds and work platform erecting and dismantling, excluding rental of scaffolds and work platforms
  • erection of chimneys and industrial ovens
  • work with specialist access requirements necessitating climbing skills and the use of related equipment, e.g. working at height on tall structures
- subsurface work
- construction of outdoor swimming pools
- steam cleaning, sand blasting and similar activities for building exteriors
- rental of cranes and other building equipment, which cannot be allocated to a specific construction type, with operator","","This class excludes:
- rental of construction machinery and equipment without operator, see 77.32","4399","Plumbing, Heating, and Air-Conditioning Contractors","Plumbing, Heating, and Air-Conditioning Contractors","","Other specialised construction activities n.e.c.","Plumbing, Heating, and Air-Conditioning Contractors","Chimney liner installation"
"238220","238220","81.22","0","0","0","0","0","0","0","Plumbing, Heating, and Air-Conditioning Contractors ","257","Plumbing, Heating, and Air-Conditioning Contractors ","250","Other building and industrial cleaning activities","This class includes:
- exterior cleaning of buildings of all types, including offices, factories, shops, institutions and other business and professional premises and multiunit residential buildings
- specialised cleaning activities for buildings such as window cleaning, chimney cleaning and cleaning of fireplaces, stoves, furnaces, incinerators, boilers, ventilation ducts and exhaust units
- cleaning of industrial machinery
- other building and industrial cleaning activities, n.e.c.","","This class excludes:
- steam cleaning and blasting and similar activities for building exteriors, see 43.99","8122","Plumbing, Heating, and Air-Conditioning Contractors","Plumbing, Heating, and Air-Conditioning Contractors","","Other building and industrial cleaning activities","Plumbing, Heating, and Air-Conditioning Contractors","Boiler chipping, cleaning, and scaling"
"23829","23829","","0","0","0","1","0","","0","Other Building Equipment Contractors","258","Other Building Equipment Contractors","251","","","","","","Other Building Equipment ContractorsT","Other Building Equipment ContractorsT","","","",""
"238290","238290","33.20","0","0","0","0","0","0","0","Other Building Equipment Contractors ","259","Other Building Equipment Contractors ","252","Installation of industrial machinery and equipment","This class includes the specialised installation of machinery. However, the installation of equipment that forms an integral part of buildings or similar structures, such as installation of escalators, electrical wiring, burglar alarm systems or air-conditioning systems, is classified as construction.

This class includes:
- installation of industrial machinery in industrial plant
- installation and assembly of industrial process control equipment
- installation of other industrial equipment, e.g.:
  • communications equipment
  • mainframe and similar computers
  • irradiation and electromedical equipment etc.
- dismantling large-scale machinery and equipment
- activities of millwrights
- machine rigging
- installation of bowling alley equipment","","This class excludes:
- installation of elevators, escalators, automated doors, vacuum cleaning systems etc., see 43.29
- installation of doors, staircases, shop fittings, furniture etc., see 43.32
- installation (setting-up) of personal computers, see 62.09","3320","Other Building Equipment Contractors","Other Building Equipment Contractors","","Installation of industrial machinery and equipment","Other Building Equipment Contractors","Installation of industrial machinery and equipment by specialty contractors"
"238290","238290","43.21","0","0","0","0","0","0","0","Other Building Equipment Contractors ","259","Other Building Equipment Contractors ","252","Electrical installation","This class includes the installation of electrical systems in all kinds of buildings and civil engineering structures of electrical systems.

This class includes:
- installation of:
  • electrical wiring and fittings
  • telecommunications wiring
  • computer network and cable television wiring, including fibre optic
  • satellite dishes
  • lighting systems
  • fire alarms
  • burglar alarm systems
  • street lighting and electrical signals
  • airport runway lighting
  • electric solar energy collectors","This class also includes:
- connecting of electric appliances and household equipment, including baseboard heating","This class excludes:
- construction of communications and power transmission lines, see 42.22
- monitoring and remote monitoring of electronic security systems, such as burglar alarms and fire alarms, including their installation and maintenance, see 80.20","4321","Other Building Equipment Contractors","Other Building Equipment Contractors","","Electrical installation","Other Building Equipment Contractors","Installation of residential satellite dishes"
"238290","238290","43.29","0","0","0","0","0","0","0","Other Building Equipment Contractors ","259","Other Building Equipment Contractors ","252","Other construction installation","This class includes the installation of equipment other than electrical, plumbing, heating and air-conditioning systems or industrial machinery in buildings and civil engineering structures.

This class includes:
- installation in buildings or other construction projects of:
  • elevators, escalators, including repair and maintenance
  • automated and revolving doors
  • lightning conductors
  • vacuum cleaning systems
  • thermal, sound or vibration insulation","","This class excludes:
- installation of industrial machinery, see 33.20","4329","Other Building Equipment Contractors","Other Building Equipment Contractors","","Other construction installation","Other Building Equipment Contractors",""
"2383","2383","","0","0","0","1","0","","0","Building Finishing Contractors","260","Building Finishing Contractors","253","","","","","","Building Finishing ContractorsT","Building Finishing ContractorsT","","","",""
"23831","23831","","0","0","0","1","0","","0","Drywall and Insulation Contractors","261","Drywall and Insulation Contractors","254","","","","","","Drywall and Insulation ContractorsT","Drywall and Insulation ContractorsT","","","",""
"238310","238310","43.29","0","0","0","0","0","0","0","Drywall and Insulation Contractors ","262","Drywall and Insulation Contractors ","255","Other construction installation","This class includes the installation of equipment other than electrical, plumbing, heating and air-conditioning systems or industrial machinery in buildings and civil engineering structures.

This class includes:
- installation in buildings or other construction projects of:
  • elevators, escalators, including repair and maintenance
  • automated and revolving doors
  • lightning conductors
  • vacuum cleaning systems
  • thermal, sound or vibration insulation","","This class excludes:
- installation of industrial machinery, see 33.20","4329","Drywall and Insulation Contractors","Drywall and Insulation Contractors","","Other construction installation","Drywall and Insulation Contractors","Soundproofing and building insulation contractors (wall cavity, attic, for example)"
"238310","238310","43.31","0","0","0","0","0","0","0","Drywall and Insulation Contractors ","262","Drywall and Insulation Contractors ","255","Plastering","This class includes:
- application in buildings or other construction projects of interior and exterior plaster or stucco, including related lathing materials","","","4331","Drywall and Insulation Contractors","Drywall and Insulation Contractors","","Plastering","Drywall and Insulation Contractors","Plastering (i.e., ornamental, plain) contractors"
"238310","238310","43.39","0","0","0","0","0","0","0","Drywall and Insulation Contractors ","262","Drywall and Insulation Contractors ","255","Other building completion and finishing","This class includes:
- cleaning of new buildings after construction
- other building completion and finishing work n.e.c.","","This class excludes:
- activities of interior decoration designers, see 74.10
- general interior cleaning of buildings and other structures, see 81.21
- specialised interior and exterior cleaning of buildings, see 81.22","4339","Drywall and Insulation Contractors","Drywall and Insulation Contractors","","Other building completion and finishing","Drywall and Insulation Contractors","Fireproof flooring construction contractors. Except soundproofing and building insulation contractors"
"238310","238310","43.99","0","0","0","0","0","0","0","Drywall and Insulation Contractors ","262","Drywall and Insulation Contractors ","255","Other specialised construction activities n.e.c.","This class includes:
- construction activities specialising in one aspect common to different kind of structures, requiring specialised skill or equipment:
  • construction of foundations, including pile driving
  • damp proofing and water proofing works
  • de-humidification of buildings
  • shaft sinking
  • erection of steel elements
  • steel bending
  • bricklaying and stone setting
  • scaffolds and work platform erecting and dismantling, excluding rental of scaffolds and work platforms
  • erection of chimneys and industrial ovens
  • work with specialist access requirements necessitating climbing skills and the use of related equipment, e.g. working at height on tall structures
- subsurface work
- construction of outdoor swimming pools
- steam cleaning, sand blasting and similar activities for building exteriors
- rental of cranes and other building equipment, which cannot be allocated to a specific construction type, with operator","","This class excludes:
- rental of construction machinery and equipment without operator, see 77.32","4399","Drywall and Insulation Contractors","Drywall and Insulation Contractors","","Other specialised construction activities n.e.c.","Drywall and Insulation Contractors","Building fireproofing contractors"
"23832","23832","","0","0","0","1","0","","0","Painting and Wall Covering Contractors","263","Painting and Wall Covering Contractors","256","","","","","","Painting and Wall Covering ContractorsT","Painting and Wall Covering ContractorsT","","","",""
"238320","238320","43.33","0","0","0","0","0","0","0","Painting and Wall Covering Contractors","264","Painting and Wall Covering Contractors","257","Floor and wall covering","This class includes:
- laying, tiling, hanging or fitting in buildings or other construction projects of:
  • ceramic, concrete or cut stone wall or floor tiles, ceramic stove fitting
  • parquet and other wooden floor coverings, wooden wall coverings
  • carpets and linoleum floor coverings, including of rubber or plastic
  • terrazzo, marble, granite or slate floor or wall coverings
  • wallpaper","","","4333","Painting and Wall Covering Contractors","Painting and Wall Covering Contractors","","Floor and wall covering","Painting and Wall Covering Contractors",""
"238320","238320","43.34","0","0","0","0","0","0","0","Painting and Wall Covering Contractors","264","Painting and Wall Covering Contractors","257","Painting and glazing","This class includes:
- interior and exterior painting of buildings
- painting of civil engineering structures
- installation of glass, mirrors, etc.","","This class excludes:
- installation of windows, see 43.32","4334","Painting and Wall Covering Contractors","Painting and Wall Covering Contractors","","Painting and glazing","Painting and Wall Covering Contractors",""
