NACE Rev 2.,CPA 2.1 
10.32,10.32.19
10.32,10.32.9
10.32,10.32.99
10.39,10.39
10.39,10.39.1
10.39,10.39.11
10.39,10.39.12
10.39,10.39.13
10.39,10.39.14
10.39,10.39.15
10.39,10.39.16
10.39,10.39.17
10.39,10.39.18
10.39,10.39.2
10.39,10.39.21
10.39,10.39.22
10.39,10.39.23
10.39,10.39.24
10.39,10.39.25
10.39,10.39.29
10.39,10.39.3
10.39,10.39.30
10.39,10.39.9
10.39,10.39.91
10.39,10.39.99
10.4,10.4
10.41,10.41
10.41,10.41.1
10.41,10.41.11
10.41,10.41.12
10.41,10.41.19
10.41,10.41.2
10.41,10.41.21
10.41,10.41.22
10.41,10.41.23
10.41,10.41.24
10.41,10.41.25
10.41,10.41.29
10.41,10.41.3
10.41,10.41.30
10.41,10.41.4
10.41,10.41.41
10.41,10.41.42
10.41,10.41.5
10.41,10.41.51
10.41,10.41.52
10.41,10.41.53
10.41,10.41.54
10.41,10.41.55
10.41,10.41.56
10.41,10.41.57
10.41,10.41.58
10.41,10.41.59
10.41,10.41.6
10.41,10.41.60
10.41,10.41.7
10.41,10.41.71
10.41,10.41.72
10.41,10.41.9
10.41,10.41.99
10.42,10.42
10.42,10.42.1
10.42,10.42.10
10.42,10.42.9
10.42,10.42.99
10.5,10.5
10.51,10.51
10.51,10.51.1
10.51,10.51.11
10.51,10.51.12
10.51,10.51.2
10.51,10.51.21
10.51,10.51.22
10.51,10.51.3
10.51,10.51.30
10.51,10.51.4
10.51,10.51.40
10.51,10.51.5
10.51,10.51.51
10.51,10.51.52
10.51,10.51.53
10.51,10.51.54
10.51,10.51.55
10.51,10.51.56
10.51,10.51.9
10.51,10.51.99
10.52,10.52
10.52,10.52.1
10.52,10.52.10
10.52,10.52.9
10.52,10.52.99
10.6,10.6
10.61,10.61
10.61,10.61.1
10.61,10.61.11
10.61,10.61.12
10.61,10.61.2
10.61,10.61.21
10.61,10.61.22
10.61,10.61.23
10.61,10.61.24
10.61,10.61.3
10.61,10.61.31
10.61,10.61.32
10.61,10.61.33
10.61,10.61.4
10.61,10.61.40
10.61,10.61.9
10.61,10.61.99
10.62,10.62
10.62,10.62.1
10.62,10.62.11
10.62,10.62.12
10.62,10.62.13
10.62,10.62.14
10.62,10.62.2
10.62,10.62.20
10.62,10.62.9
10.62,10.62.99
10.7,10.7
10.71,10.71
10.71,10.71.1
10.71,10.71.11
10.71,10.71.12
10.71,10.71.9
10.71,10.71.99
10.72,10.72
10.72,10.72.1
10.72,10.72.11
10.72,10.72.12
10.72,10.72.19
10.72,10.72.9
10.72,10.72.99
10.73,10.73
10.73,10.73.1
10.73,10.73.11
10.73,10.73.12
10.73,10.73.9
10.73,10.73.99
10.8,10.8
10.81,10.81
10.81,10.81.1
10.81,10.81.11
10.81,10.81.12
10.81,10.81.13
10.81,10.81.14
10.81,10.81.2
10.81,10.81.20
10.81,10.81.9
10.81,10.81.99
10.82,10.82
10.82,10.82.1
10.82,10.82.11
10.82,10.82.12
10.82,10.82.13
10.82,10.82.14
10.82,10.82.2
10.82,10.82.21
10.82,10.82.22
10.82,10.82.23
10.82,10.82.24
10.82,10.82.3
10.82,10.82.30
10.82,10.82.9
10.82,10.82.99
10.83,10.83
10.83,10.83.1
10.83,10.83.11
10.83,10.83.12
10.83,10.83.13
10.83,10.83.14
10.83,10.83.15
10.83,10.83.9
10.83,10.83.99
10.84,10.84
10.84,10.84.1
10.84,10.84.11
10.84,10.84.12
10.84,10.84.2
10.84,10.84.21
10.84,10.84.22
10.84,10.84.23
10.84,10.84.3
10.84,10.84.30
10.84,10.84.9
10.84,10.84.99
10.85,10.85
10.85,10.85.1
10.85,10.85.11
10.85,10.85.12
10.85,10.85.13
10.85,10.85.14
10.85,10.85.19
10.85,10.85.9
10.85,10.85.99
10.86,10.86
10.86,10.86.1
10.86,10.86.10
10.86,10.86.9
10.86,10.86.99
10.89,10.89
10.89,10.89.1
10.89,10.89.11
10.89,10.89.12
10.89,10.89.13
10.89,10.89.14
10.89,10.89.15
10.89,10.89.16
10.89,10.89.17
10.89,10.89.19
10.89,10.89.9
10.89,10.89.99
10.9,10.9
10.91,10.91
10.91,10.91.1
10.91,10.91.10
10.91,10.91.2
10.91,10.91.20
10.91,10.91.9
10.91,10.91.99
10.92,10.92
10.92,10.92.1
10.92,10.92.10
10.92,10.92.9
10.92,10.92.99
11.0,11.0
11.01,11.01
11.01,11.01.1
11.01,11.01.10
11.01,11.01.9
11.01,11.01.99
11.02,11.02
11.02,11.02.1
11.02,11.02.11
11.02,11.02.12
11.02,11.02.2
11.02,11.02.20
11.02,11.02.9
11.02,11.02.99
11.03,11.03
11.03,11.03.1
11.03,11.03.10
11.03,11.03.9
11.03,11.03.99
11.04,11.04
11.04,11.04.1
11.04,11.04.10
11.04,11.04.9
11.04,11.04.99
11.05,11.05
11.05,11.05.1
11.05,11.05.10
11.05,11.05.2
11.05,11.05.20
11.05,11.05.9
11.05,11.05.99
11.06,11.06
11.06,11.06.1
11.06,11.06.10
11.06,11.06.9
11.06,11.06.99
11.07,11.07
11.07,11.07.1
11.07,11.07.11
11.07,11.07.19
11.07,11.07.9
11.07,11.07.99
12.0,12.0
12.00,12.00
12.00,12.00.1
12.00,12.00.11
12.00,12.00.12
12.00,12.00.19
12.00,12.00.2
12.00,12.00.20
12.00,12.00.9
12.00,12.00.99
13.1,13.1
13.10,13.10
13.10,13.10.1
13.10,13.10.10
13.10,13.10.2
13.10,13.10.21
13.10,13.10.22
13.10,13.10.23
13.10,13.10.24
13.10,13.10.25
13.10,13.10.26
13.10,13.10.29
13.10,13.10.3
13.10,13.10.31
13.10,13.10.32
13.10,13.10.4
13.10,13.10.40
13.10,13.10.5
13.10,13.10.50
13.10,13.10.6
13.10,13.10.61
13.10,13.10.62
13.10,13.10.7
13.10,13.10.71
13.10,13.10.72
13.10,13.10.8
13.10,13.10.81
13.10,13.10.82
13.10,13.10.83
13.10,13.10.84
13.10,13.10.85
13.10,13.10.9
13.10,13.10.91
13.10,13.10.92
13.10,13.10.93
13.10,13.10.99
13.2,13.2
13.20,13.20
13.20,13.20.1
13.20,13.20.11
13.20,13.20.12
13.20,13.20.13
13.20,13.20.14
13.20,13.20.19
13.20,13.20.2
13.20,13.20.20
13.20,13.20.3
13.20,13.20.31
13.20,13.20.32
13.20,13.20.33
13.20,13.20.4
13.20,13.20.41
13.20,13.20.42
13.20,13.20.43
13.20,13.20.44
13.20,13.20.45
13.20,13.20.46
13.20,13.20.5
13.20,13.20.50
13.20,13.20.9
13.20,13.20.99
13.3,13.3
13.30,13.30
13.30,13.30.1
13.30,13.30.11
13.30,13.30.12
13.30,13.30.13
13.30,13.30.19
13.9,13.9
13.91,13.91
13.91,13.91.1
13.91,13.91.11
13.91,13.91.19
13.91,13.91.9
13.91,13.91.99
13.92,13.92
13.92,13.92.1
13.92,13.92.11
13.92,13.92.12
13.92,13.92.13
13.92,13.92.14
13.92,13.92.15
13.92,13.92.16
13.92,13.92.2
13.92,13.92.21
13.92,13.92.22
13.92,13.92.23
13.92,13.92.24
13.92,13.92.29
13.92,13.92.9
13.92,13.92.99
13.93,13.93
13.93,13.93.1
13.93,13.93.11
13.93,13.93.12
13.93,13.93.13
13.93,13.93.19
13.93,13.93.9
13.93,13.93.99
13.94,13.94
13.94,13.94.1
13.94,13.94.11
13.94,13.94.12
13.94,13.94.2
13.94,13.94.20
13.94,13.94.9
13.94,13.94.99
13.95,13.95
13.95,13.95.1
13.95,13.95.10
13.95,13.95.9
13.95,13.95.99
13.96,13.96
13.96,13.96.1
13.96,13.96.11
13.96,13.96.12
13.96,13.96.13
13.96,13.96.14
13.96,13.96.15
13.96,13.96.16
13.96,13.96.17
13.96,13.96.9
13.96,13.96.99
13.99,13.99
13.99,13.99.1
13.99,13.99.11
13.99,13.99.12
13.99,13.99.13
13.99,13.99.14
13.99,13.99.15
13.99,13.99.16
13.99,13.99.19
13.99,13.99.9
13.99,13.99.99
14.1,14.1
14.11,14.11
14.11,14.11.1
14.11,14.11.10
14.11,14.11.9
14.11,14.11.99
14.12,14.12
14.12,14.12.1
14.12,14.12.11
14.12,14.12.12
14.12,14.12.2
14.12,14.12.21
14.12,14.12.22
14.12,14.12.3
14.12,14.12.30
14.12,14.12.9
14.12,14.12.99
14.13,14.13
14.13,14.13.1
14.13,14.13.11
14.13,14.13.12
14.13,14.13.13
14.13,14.13.14
14.13,14.13.2
14.13,14.13.21
14.13,14.13.22
14.13,14.13.23
14.13,14.13.24
14.13,14.13.3
14.13,14.13.31
14.13,14.13.32
14.13,14.13.33
14.13,14.13.34
14.13,14.13.35
14.13,14.13.4
14.13,14.13.40
14.13,14.13.9
14.13,14.13.99
14.14,14.14
14.14,14.14.1
14.14,14.14.11
14.14,14.14.12
14.14,14.14.13
14.14,14.14.14
14.14,14.14.2
14.14,14.14.21
14.14,14.14.22
14.14,14.14.23
14.14,14.14.24
14.14,14.14.25
14.14,14.14.3
14.14,14.14.30
14.14,14.14.9
14.14,14.14.99
14.19,14.19
14.19,14.19.1
14.19,14.19.11
14.19,14.19.12
14.19,14.19.13
14.19,14.19.19
14.19,14.19.2
14.19,14.19.21
14.19,14.19.22
14.19,14.19.23
14.19,14.19.3
14.19,14.19.31
14.19,14.19.32
14.19,14.19.4
14.19,14.19.41
14.19,14.19.42
14.19,14.19.43
14.19,14.19.9
14.19,14.19.99
14.2,14.2
14.20,14.20
14.20,14.20.1
14.20,14.20.10
14.20,14.20.9
14.20,14.20.99
14.3,14.3
14.31,14.31
14.31,14.31.1
14.31,14.31.10
14.31,14.31.9
14.31,14.31.99
14.39,14.39
14.39,14.39.1
14.39,14.39.10
14.39,14.39.9
14.39,14.39.99
15.1,15.1
15.11,15.11
15.11,15.11.1
15.11,15.11.10
15.11,15.11.2
15.11,15.11.21
15.11,15.11.22
15.11,15.11.3
15.11,15.11.31
15.11,15.11.32
15.11,15.11.33
15.11,15.11.4
15.11,15.11.41
15.11,15.11.42
15.11,15.11.43
15.11,15.11.5
15.11,15.11.51
15.11,15.11.52
15.11,15.11.9
15.11,15.11.99
15.12,15.12
15.12,15.12.1
15.12,15.12.11
15.12,15.12.12
15.12,15.12.13
15.12,15.12.19
15.12,15.12.9
15.12,15.12.99
15.2,15.2
15.20,15.20
15.20,15.20.1
15.20,15.20.11
15.20,15.20.12
15.20,15.20.13
15.20,15.20.14
15.20,15.20.2
15.20,15.20.21
15.20,15.20.29
15.20,15.20.3
15.20,15.20.31
15.20,15.20.32
15.20,15.20.4
15.20,15.20.40
15.20,15.20.9
15.20,15.20.99
16.1,16.1
16.10,16.10
16.10,16.10.1
16.10,16.10.11
16.10,16.10.12
16.10,16.10.13
16.10,16.10.2
16.10,16.10.21
16.10,16.10.22
16.10,16.10.23
16.10,16.10.24
16.10,16.10.25
16.10,16.10.3
16.10,16.10.31
16.10,16.10.32
16.10,16.10.39
16.10,16.10.9
16.10,16.10.91
16.10,16.10.99
16.2,16.2
16.21,16.21
16.21,16.21.1
16.21,16.21.11
16.21,16.21.12
16.21,16.21.13
16.21,16.21.14
16.21,16.21.15
16.21,16.21.16
16.21,16.21.17
16.21,16.21.18
16.21,16.21.2
16.21,16.21.21
16.21,16.21.22
16.21,16.21.23
16.21,16.21.24
16.21,16.21.9
16.21,16.21.91
16.21,16.21.99
16.22,16.22
16.22,16.22.1
16.22,16.22.10
16.22,16.22.9
16.22,16.22.99
16.23,16.23
16.23,16.23.1
16.23,16.23.11
16.23,16.23.12
16.23,16.23.19
16.23,16.23.2
16.23,16.23.20
16.23,16.23.9
16.23,16.23.99
16.24,16.24
16.24,16.24.1
16.24,16.24.11
16.24,16.24.12
16.24,16.24.13
16.24,16.24.9
16.24,16.24.99
16.29,16.29
16.29,16.29.1
16.29,16.29.11
16.29,16.29.12
16.29,16.29.13
16.29,16.29.14
16.29,16.29.15
16.29,16.29.2
16.29,16.29.21
16.29,16.29.22
16.29,16.29.23
16.29,16.29.24
16.29,16.29.25
16.29,16.29.9
16.29,16.29.91
16.29,16.29.99
17.1,17.1
17.11,17.11
17.11,17.11.1
17.11,17.11.11
17.11,17.11.12
17.11,17.11.13
17.11,17.11.14
17.11,17.11.9
17.11,17.11.99
17.12,17.12
17.12,17.12.1
17.12,17.12.11
17.12,17.12.12
17.12,17.12.13
17.12,17.12.14
17.12,17.12.2
17.12,17.12.20
17.12,17.12.3
17.12,17.12.31
17.12,17.12.32
17.12,17.12.33
17.12,17.12.34
17.12,17.12.35
17.12,17.12.4
17.12,17.12.41
17.12,17.12.42
17.12,17.12.43
17.12,17.12.44
17.12,17.12.5
17.12,17.12.51
17.12,17.12.59
17.12,17.12.6
17.12,17.12.60
17.12,17.12.7
17.12,17.12.71
17.12,17.12.72
17.12,17.12.73
17.12,17.12.74
17.12,17.12.75
17.12,17.12.76
17.12,17.12.77
17.12,17.12.78
17.12,17.12.79
17.12,17.12.9
17.12,17.12.99
17.2,17.2
17.21,17.21
17.21,17.21.1
17.21,17.21.11
17.21,17.21.12
17.21,17.21.13
17.21,17.21.14
17.21,17.21.15
17.21,17.21.9
17.21,17.21.99
17.22,17.22
17.22,17.22.1
17.22,17.22.11
17.22,17.22.12
17.22,17.22.13
17.22,17.22.9
17.22,17.22.99
17.23,17.23
17.23,17.23.1
17.23,17.23.11
17.23,17.23.12
17.23,17.23.13
17.23,17.23.14
17.23,17.23.9
17.23,17.23.99
17.24,17.24
17.24,17.24.1
17.24,17.24.11
17.24,17.24.12
17.24,17.24.9
17.24,17.24.99
17.29,17.29
17.29,17.29.1
17.29,17.29.11
17.29,17.29.12
17.29,17.29.19
17.29,17.29.9
17.29,17.29.99
18.1,18.1
18.11,18.11
18.11,18.11.1
18.11,18.11.10
18.12,18.12
18.12,18.12.1
18.12,18.12.11
18.12,18.12.12
18.12,18.12.13
18.12,18.12.14
18.12,18.12.15
18.12,18.12.16
18.12,18.12.19
18.13,18.13
18.13,18.13.1
18.13,18.13.10
18.13,18.13.2
18.13,18.13.20
18.13,18.13.3
18.13,18.13.30
18.14,18.14
18.14,18.14.1
18.14,18.14.10
18.2,18.2
18.20,18.20
18.20,18.20.1
18.20,18.20.10
18.20,18.20.2
18.20,18.20.20
18.20,18.20.3
18.20,18.20.30
19.1,19.1
19.10,19.10
19.10,19.10.1
19.10,19.10.10
19.10,19.10.2
19.10,19.10.20
19.10,19.10.3
19.10,19.10.30
19.10,19.10.9
19.10,19.10.99
19.2,19.2
19.20,19.20
19.20,19.20.1
19.20,19.20.11
19.20,19.20.12
19.20,19.20.13
19.20,19.20.2
19.20,19.20.21
19.20,19.20.22
19.20,19.20.23
19.20,19.20.24
19.20,19.20.25
19.20,19.20.26
19.20,19.20.27
19.20,19.20.28
19.20,19.20.29
19.20,19.20.3
19.20,19.20.31
19.20,19.20.32
19.20,19.20.39
19.20,19.20.4
19.20,19.20.41
19.20,19.20.42
19.20,19.20.9
19.20,19.20.99
20.1,20.1
20.11,20.11
20.11,20.11.1
20.11,20.11.11
20.11,20.11.12
20.11,20.11.13
20.11,20.11.9
20.11,20.11.99
20.12,20.12
20.12,20.12.1
20.12,20.12.11
20.12,20.12.12
20.12,20.12.19
20.12,20.12.2
20.12,20.12.21
20.12,20.12.22
20.12,20.12.23
20.12,20.12.24
20.12,20.12.9
20.12,20.12.99
20.13,20.13
20.13,20.13.1
20.13,20.13.11
20.13,20.13.12
20.13,20.13.13
20.13,20.13.14
20.13,20.13.2
20.13,20.13.21
20.13,20.13.22
20.13,20.13.23
20.13,20.13.24
20.13,20.13.25
20.13,20.13.3
20.13,20.13.31
20.13,20.13.32
20.13,20.13.4
20.13,20.13.41
20.13,20.13.42
20.13,20.13.43
20.13,20.13.5
20.13,20.13.51
20.13,20.13.52
20.13,20.13.6
20.13,20.13.61
20.13,20.13.62
20.13,20.13.63
20.13,20.13.64
20.13,20.13.65
20.13,20.13.66
20.13,20.13.67
20.13,20.13.68
20.13,20.13.9
20.13,20.13.99
20.14,20.14
20.14,20.14.1
20.14,20.14.11
20.14,20.14.12
20.14,20.14.13
20.14,20.14.14
20.14,20.14.19
20.14,20.14.2
20.14,20.14.21
20.14,20.14.22
20.14,20.14.23
20.14,20.14.24
20.14,20.14.3
20.14,20.14.31
20.14,20.14.32
20.14,20.14.33
20.14,20.14.34
20.14,20.14.4
20.14,20.14.41
20.14,20.14.42
20.14,20.14.43
20.14,20.14.44
20.14,20.14.5
20.14,20.14.51
20.14,20.14.52
20.14,20.14.53
20.14,20.14.6
20.14,20.14.61
20.14,20.14.62
20.14,20.14.63
20.14,20.14.64
20.14,20.14.7
20.14,20.14.71
20.14,20.14.72
20.14,20.14.73
20.14,20.14.74
20.14,20.14.75
20.14,20.14.8
20.14,20.14.80
20.14,20.14.9
20.14,20.14.99
20.15,20.15
20.15,20.15.1
20.15,20.15.10
20.15,20.15.2
20.15,20.15.20
20.15,20.15.3
20.15,20.15.31
20.15,20.15.32
20.15,20.15.33
20.15,20.15.34
20.15,20.15.35
20.15,20.15.36
20.15,20.15.39
20.15,20.15.4
