"nace2","NAME","Parent","Include","Include_Also","Exclude"
"01.62","Спомагателни дейности в животновъдството","01.6","- дейности в животновъдството срещу заплащане (по договор или еднократно):   • дейности, подпомагащи развъждането - аклиматизиране, прираст и продуктивност на животните   • тестване и изследване на състоянието на стадата, услуги по съпровождане и паша на стадата, кастриране на домашни животни, почистване на кафези и птичарници   • изкуствено осеменяване на животни   • услуги в конюшни (отглеждане, грижи за расови коне за разплод)    • стригане на овце   • подслоняване и изхранване на селскостопански животни в стопанства","- подковаване на коне","- осигуряване на места за пансиони за домашни любимци - 68.20 - дейности оказвани от ветеринарни лекари - 75.00 - ваксиниране на животни - 75.00 - вземане/даване под наем на животни, вкл. стада - 77.39 - пансион за домашни любимци - 96.09"
"01.63","Дейности след прибиране на реколтата","01.6","- първична обработка на продуктите за пазара - почистване, сортиране, дезинфекциране - отделяне на семената от памука - първична обработка на тютюневите листа, например сушене - първична обработка на какаови зърна, например обелване и изваждане на какаовите семена - покриване на плодове с восък",NA,"- първична подготовка на селскостопанската продукция при производителя, виж кореспондиращия клас в групи 01.1, 01.2 или 01.3 - дейности след прибиране на реколтата, целящи подобряване на качеството на семената - 01.64 - обезжилване и повторно сушене на тютюна - 12.00 - дейности, свързани с посредничество на търговци на едро и кооперативни сдружения - раздел 46 - продажба на едро на селскостопански продукти - 46.2"
"01.64","Обработка на семена за посев","01.6","Този клас включва всички дейности след прибиране на реколтата, насочени към подобряване на качеството на семената за размножаване чрез отстраняване на негодните недоразвити, механически повредени или наядени от насекоми (инсектициди) и недозрели семена, както и отстраняване на влагата от семената до безопасно ниво за складирането (съхранението) им. Това включва сушене, почистване, сортиране и третиране на семената, докато те се продадат. Тук е включено и третирането на генномодифицираните семена.",NA,"- отглеждане на семена - 01.1 и 01.2 - преработване на семена за добиване на масла - 10.41 - научноизследователски дейности за създаване на нови форми семена, усъвършенстване или модифициране на вече създадени семена - 72.11"
"01.7","Лов и спомагателни дейности","01",NA,NA,NA
"01.70","Лов и спомагателни дейности","01.7","- лов с търговска цел - лов чрез убиване или улавяне на жив дивеч - за месо, кожи и ловни трофеи, за изследователски цели, зоологически градини или за домашни любимци - добиване на сурови кожи от дивеч, влечуги или диви птици, от лов","- улов на морски бозайници, например моржове и тюлени, без улова на китове","- добиване на сурови кожи от дивеч, влечуги или диви птици, отглеждани принудително в стопанства и ферми  - 01.49 - отглеждане на диви животни и птици в стопанства и ферми  - 01.4 - улов на китове - 03.11 - добиване на сурови кожи от кланици - 10.11 - спортен или развлекателен лов и спомагателни дейности - 93.19 - дейности на ловно-рибарски сдружения, подпомагащи лова - 94.99"
"02","Горско стопанство","A","Този раздел включва дейности по отглеждане на горскодървесна растителност и събиране на диворастящи горски материали и продукти. Освен добива на трупи в горското стопанство се добиват и някои частично преработени продукти - дърва за горене, дървени въглища, получени по традиционен начин или за промишлени цели (минни подпори, за производство на химична дървесна маса и други). Тези дейности могат да се извършват в естествени или изкуствени гори.",NA,"Този раздел не включва последващата преработка на дървения материал, която започва с неговото разкрояване и рендосване и основно се извършва далеч от зоната на дърводобива - раздел 16."
"02.1","Възпроизводство на гори","02",NA,NA,NA
"02.10","Възпроизводство на гори","02.1","- отглеждане на дървостой: залесяване, попълване, пресаждане, прореждане, запазване на горите и горските пространства - отглеждане на храсти и нискостъблени гори за периодична сеч, за дървесна маса и дърва за горене - експлоатация на горски разсадници  Тези дейности се извършват в естествени или изкуствено създадени гори.",NA,"- отглеждане на коледни елхи - 01.29 - експлоатация на разсадници без горските - 01.30 - събиране на диворастящи гъби, трюфели и други недървесни продукти - 02.30 - производство на дървесен талаш, дървесно брашно, частици - 16.10"
"02.2","Дърводобив","02",NA,NA,NA
"02.20","Дърводобив","02.2","- добиване на трупи за дървопреработващите предприятия  - добиване на трупи, употребени необработени, нецепени, незаострени като: подпори, стълбове за огради, колове (пръти) - събиране и добиване на дърва за горене - събиране и добиване на остатъци (дънери, клони, вейки и други) за горене, получени при дърводобива и прибиране на реколтата от гората - добиване на дървени въглища в гората (по традиционни методи)  Продукцията от тези дейности може да се получи под формата на трупи или дърва за горене.",NA,"- отглеждане на коледни елхи - 01.29 - отглеждане на дървостой: залесяване, попълване, пресаждане, прореждане, запазване на горите и горските пространства - 02.10 - събиране на диворастящи и недървесни продукти - 02.30 - производство на дървесен талаш, дървесно брашно, частици - 16.10 - производство на дървени въглища чрез суха дестилация на дърва - 20.14"
"02.3","Събиране на диворастящи и недървесни продукти","02",NA,NA,NA
"02.30","Събиране на диворастящи и недървесни продукти","02.3","- събиране на диворастящи и недървесни продукти:   • гъби и трюфели   • ягодоплодни   • орехоплодни   • естествен каучук, балата, гутаперча и други каучукоподобни смоли   • естествен корк   • естествени лакове и клейове (смоли)   • балсами   • растителен пух   • морска трева: „Валиснерия“   • жълъди, диви кестени   • мъхове и лишеи",NA,"- отглеждане на някои от тези продукти (с изключение на отглеждане на корков дъб) - раздел 01 - отглеждане на гъби или трюфели - 01.13 - отглеждане на ягодоплодни или черупкови плодове  - 01.25 - събиране на дърва за горене - 02.20 - производство на дървесен талаш, дървесно брашно, частици - 16.10"
"02.4","Спомагателни дейности в горското стопанство","02",NA,NA,NA
"02.40","Спомагателни дейности в горското стопанство","02.4","Този клас включва извършване на лесовъдни дейности срещу заплащане (по договор или еднократно).  - лесовъдни дейности в следните области:   • залесяване   • пресаждане и прореждане   • инвентаризация на горите   • консултантски дейности по управление на горите (изготвяне на устройствени проекти, програми и планове, експертизи)   • оценка на дървостоя   • опазване и контрол, вкл. охрана на горите от пожар   • борба с вредителите в горите - спомагателни дейности в дърводобива   • отсичане на дървета и добиване на необработен дървен материал   • транспортиране на добития дървен материал на територията на горското стопанство (временни складове, товарачни площадки) - поддържане на съществуващи временни горски пътища",NA,"- експлоатация на горски разсадници - 02.10 - отводняване (дрениране) на горски земи - 43.12 - разчистване на строителни площадки - 43.12"
"03","Рибно стопанство","A","Този раздел включва улова и събирането на риби, ракообразни, мекотели, морски продукти и материали (водорасли, перли, сюнгери и други) в морски или сладководни басейни.","Този раздел включва още дейности, които обикновено са интегрирани в процеса на производство за собствена сметка (например отглеждане на миди за производство на перли). Обслужващите дейности, свързани с морския и сладководния риболов или развъждането на во","Този разделът не включва преработка и консервиране на риба, ракообразни или мекотели на борда на кораби заводи или заводи на сушата - 10.20, строителство и ремонт на плавателни съдове - 30.1, 33.15, както и спортен или развлекателен риболов - 93.19."
"03.1","Риболов","03","Тази група включва „риболов чрез улавяне“, т.е. организиране на лов, събиране и прибиране при свободно придвижване или събиране на живи водни организми (предимно риби, ракообразни и мекотели), вкл. растения от океански, крайбрежни или вътрешни води, за храна на човека и други нужди. Това става ръчно или в повечето случаи при използването на различни видове риболовни принадлежности като мрежи, подвижни и неподвижни капани. Тези дейности могат да се извършват между приливите и отливите по бреговата линия (например събиране на мекотели като миди и стриди) или залагане на мрежи от лодки (ръчно изработени или закупени) на брега или до брега в териториални или международни води.","Тук се включва също риболов в зарибени водоеми.",NA
"03.11","Океански и морски риболов","03.1","- океански и морски стопански риболов - улов на ракообразни и мекотели в морски басейни - улов на китове - улов на други водни животни в морски басейни: костенурки, иглокожи и други","- дейности на кораби заводи, извършващи океански или морски риболов, преработка и консервиране на риба, ракообразни и мекотели - събиране на морски продукти и материали: естествени перли, сюнгери, корали и водорасли","- улов на морски бозайници като моржове, тюлени и други, без улова на китове - 01.70 - преработка на китове в кораби заводи - 10.11 - дейности на кораби заводи или заводи на сушата, специализирани само в преработка и консервиране на риба, ракообразни и мекотели - 10.20 - даване под наем на плавателни съдове за развлечение с екипаж за морски и крайбрежен транспорт (например пътувания с цел риболов) - 50.10 - наблюдение, контрол и опазване на рибните ресурси - 84.24 - спортен и развлекателен риболов и свързаните с него дейности - 93.19 - експлоатация на обекти за спортен и развлекателен риболов - 93.19"
"03.12","Сладководен риболов","03.1","- стопански риболов в сладководни басейни - улов на ракообразни и мекотели в сладководни басейни - улов на водни животни в сладководни басейни","- събиране на продукти и материали от сладководни басейни","- дейности на кораби заводи или заводи на сушата, специализирани само в преработката и консервирането на риба, ракообразни и мекотели - 10.20 - наблюдение, контрол и опазване на рибните ресурси - 84.24 - спортен и развлекателен риболов и свързаните с него дейности - 93.19 - експлоатация на обекти за спортен и развлекателен риболов - 93.19"
"03.2","Развъждане и отглеждане на риба и други водни организми","03","Тази група включва развъждане и отглеждане на водни организми, т.е. процеси, свързани с развъждането или отглеждането (вкл. прибиране на отгледаното) на водни организми (риби, мекотели, ракообразни, водорасли, крокодили, алигатори и земноводни) при използване на техники/умения, предназначени за увеличаване на организмите извън естествената способност на околната среда (например - редовното поддържане на рибните ресурси, тяхното изхранване и опазване от хищници). Развъждане/отглеждане в рибарници на млади и/или възрастни (достигнали зряла възраст) водни организми от посочените по-горе. Освен това включва отглеждане и развъждане на водни организми - притежание на отделно лице, предприемач или държава на отделни организми - по време на различните фази от развитието им, вкл. и до крайната фаза - събиране на отгледаното.",NA,NA
