CN 2022,SupText,URI,Name
01059910,"Live domestic ducks, weighing > 185 g",010599100080,0105 99 10 --- Ducks
01059920,"Live domestic geese, weighing > 185 g",010599200080,0105 99 20 --- Geese
01059930,"Live domestic turkeys, weighing > 185 g",010599300080,0105 99 30 --- Turkeys
01059950,"Live domestic guinea fowls, weighing > 185 g",010599500080,0105 99 50 --- Guinea fowls
0106,"Live animals (excl. horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, poultry, fish, crustaceans, molluscs and other aquatic invertebrates, and microorganic cultures etc.)",010600000080,0106 Other live animals
01061100,Live primates,010611000080,0106 11 00 -- Primates
01061200,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",010612000080,"0106 12 00 -- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
01061300,Live camels and other camelids [Camelidae],010613000080,0106 13 00 -- Camels and other camelids (Camelidae)
010614,Live rabbits and hares,010614000080,0106 14 -- Rabbits and hares
01061410,Live domestic rabbits,010614100080,0106 14 10 --- Domestic rabbits
01061490,Live rabbits and hares (excl. domestic rabbits),010614900080,0106 14 90 --- Other
01061900,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)",010619000080,0106 19 00 -- Other
01062000,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""",010620000080,0106 20 00 - Reptiles (including snakes and turtles)
01063100,Live birds of prey,010631000080,0106 31 00 -- Birds of prey
01063200,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""",010632000080,"0106 32 00 -- Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
01063300,"Live ostriches, and emus [Dromaius novaehollandiae]",010633000080,0106 33 00 -- Ostriches; emus (Dromaius novaehollandiae)
010639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)",010639000080,0106 39 -- Other
01063910,Live pigeons,010639100080,0106 39 10 --- Pigeons
01063980,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches, emus and pigeons)",010639800080,0106 39 80 --- Other
01064100,Live bees,010641000080,0106 41 00 -- Bees
01064900,Live insects (excl. bees),010649000080,0106 49 00 -- Other
01069000,"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)",010690000080,0106 90 00 - Other
02,MEAT AND EDIBLE MEAT OFFAL,020021000090,CHAPTER 2 - MEAT AND EDIBLE MEAT OFFAL
0201,"Meat of bovine animals, fresh or chilled",020100000080,"0201 Meat of bovine animals, fresh or chilled"
02011000,"Carcases or half-carcases of bovine animals, fresh or chilled",020110000080,0201 10 00 - Carcases and half-carcases
020120,"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)",020120000080,0201 20 - Other cuts with bone in
02012020,Compensated,020120200080,0201 20 20 -- ‘Compensated’ quarters
02012030,"Unseparated or separated forequarters of bovine animals, with bone in, fresh or chilled",020120300080,0201 20 30 -- Unseparated or separated forequarters
02012050,"Unseparated or separated hindquarters of bovine animals, with bone in, fresh or chilled",020120500080,0201 20 50 -- Unseparated or separated hindquarters
02012090,"Fresh or chilled bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated quarters"", forequarters and hindquarters)",020120900080,0201 20 90 -- Other
02013000,"Fresh or chilled bovine meat, boneless",020130000080,0201 30 00 - Boneless
0202,"Meat of bovine animals, frozen",020200000080,"0202 Meat of bovine animals, frozen"
