CN 2021,BEC Rev. 4,START,END
02073951,122,01/01/1988,31/12/1995
02073953,122,01/01/1988,31/12/1995
02073955,122,01/01/1988,31/12/1995
02073957,122,01/01/1988,31/12/1995
02073961,122,01/01/1988,31/12/1995
02073963,122,01/01/1988,31/12/1995
02073965,122,01/01/1988,31/12/1995
02073967,122,01/01/1988,31/12/1995
02073971,122,01/01/1988,31/12/1995
02073973,122,01/01/1988,31/12/1995
02073975,122,01/01/1988,31/12/1995
02073977,122,01/01/1988,31/12/1995
02073981,122,01/01/1988,31/12/1995
02073983,122,01/01/1988,31/12/1995
02073985,122,01/01/1988,31/12/1995
02073990,122,01/01/1988,31/12/1995
02074110,122,01/01/1988,31/12/1995
02074111,122,01/01/1988,31/12/1995
02074120,122,01/01/2012,31/12/2500
02074121,122,01/01/1988,31/12/1995
02074130,122,01/01/2012,31/12/2500
02074131,122,01/01/1988,31/12/1995
02074141,122,01/01/1988,31/12/1995
02074151,122,01/01/1988,31/12/1995
02074171,122,01/01/1988,31/12/1995
02074180,122,01/01/2012,31/12/2500
02074190,122,01/01/1988,31/12/1995
02074210,122,01/01/1988,31/12/1995
02074211,122,01/01/1988,31/12/1995
02074221,122,01/01/1988,31/12/1995
02074230,122,01/01/2012,31/12/2500
02074231,122,01/01/1988,31/12/1995
02074241,122,01/01/1988,31/12/1995
02074251,122,01/01/1988,31/12/1995
02074259,122,01/01/1988,31/12/1995
02074271,122,01/01/1988,31/12/1995
02074280,122,01/01/2012,31/12/2500
02074290,122,01/01/1988,31/12/1995
02074300,122,01/01/2012,31/12/2500
02074311,122,01/01/1988,31/12/1995
02074315,122,01/01/1988,31/12/1995
02074321,122,01/01/1988,31/12/1995
02074323,122,01/01/1988,31/12/1995
02074325,122,01/01/1988,31/12/1995
02074331,122,01/01/1988,31/12/1995
02074341,122,01/01/1988,31/12/1995
02074351,122,01/01/1988,31/12/1995
02074353,122,01/01/1988,31/12/1995
02074361,122,01/01/1988,31/12/1995
02074363,122,01/01/1988,31/12/1995
02074371,122,01/01/1988,31/12/1995
02074381,122,01/01/1988,31/12/1995
02074390,122,01/01/1988,31/12/1995
02074410,122,01/01/2012,31/12/2500
02074421,122,01/01/2012,31/12/2500
02074431,122,01/01/2012,31/12/2500
02074441,122,01/01/2012,31/12/2500
02074451,122,01/01/2012,31/12/2500
02074461,122,01/01/2012,31/12/2500
02074471,122,01/01/2012,31/12/2500
02074481,122,01/01/2012,31/12/2500
02074491,122,01/01/2012,31/12/2500
02074499,122,01/01/2012,31/12/2500
02074510,122,01/01/2012,31/12/2500
02074521,122,01/01/2012,31/12/2500
02074531,122,01/01/2012,31/12/2500
02074541,122,01/01/2012,31/12/2500
02074551,122,01/01/2012,31/12/2500
02074561,122,01/01/2012,31/12/2500
02074571,122,01/01/2012,31/12/2500
02074581,122,01/01/2012,31/12/2500
02074593,122,01/01/2012,31/12/2500
02074595,122,01/01/2012,31/12/2500
02074599,122,01/01/2012,31/12/2500
02075010,122,01/01/1988,31/12/1995
02075090,122,01/01/1988,31/12/1995
02075110,122,01/01/2012,31/12/2500
02075190,122,01/01/2012,31/12/2500
02075210,122,01/01/2012,31/12/2500
02075290,122,01/01/2012,31/12/2500
02075300,122,01/01/2012,31/12/2500
02075410,122,01/01/2012,31/12/2500
02075421,122,01/01/2012,31/12/2500
02075431,122,01/01/2012,31/12/2500
02075441,122,01/01/2012,31/12/2500
02075451,122,01/01/2012,31/12/2500
02075461,122,01/01/2012,31/12/2500
02075471,122,01/01/2012,31/12/2500
02075481,122,01/01/2012,31/12/2500
02075491,122,01/01/2012,31/12/2500
02075499,122,01/01/2012,31/12/2500
02075510,122,01/01/2012,31/12/2500
02075521,122,01/01/2012,31/12/2500
02075531,122,01/01/2012,31/12/2500
02075541,122,01/01/2012,31/12/2500
02075551,122,01/01/2012,31/12/2500
02075561,122,01/01/2012,31/12/2500
02075571,122,01/01/2012,31/12/2500
02075581,122,01/01/2012,31/12/2500
02075593,122,01/01/2012,31/12/2500
02075595,122,01/01/2012,31/12/2500
02075599,122,01/01/2012,31/12/2500
02076005,122,01/01/2012,31/12/2500
02076010,122,01/01/2012,31/12/2500
02076021,122,01/01/2012,31/12/2500
02076031,122,01/01/2012,31/12/2500
02076041,122,01/01/2012,31/12/2500
02076051,122,01/01/2012,31/12/2500
02076061,122,01/01/2012,31/12/2500
02076081,122,01/01/2012,31/12/2500
02076091,122,01/01/2012,31/12/2500
02076099,122,01/01/2012,31/12/2500
02081010,122,01/01/2008,31/12/2500
02081011,122,01/01/1993,31/12/2007
02081019,122,01/01/1993,31/12/2007
02081090,122,01/01/1988,31/12/2500
02082000,122,01/01/1988,31/12/2006
02083000,122,01/01/2002,31/12/2500
02084010,122,01/01/2002,31/12/2500
02084020,122,01/01/2012,31/12/2500
02084080,122,01/01/2012,31/12/2500
02084090,122,01/01/2002,31/12/2011
02085000,122,01/01/2002,31/12/2500
02086000,122,01/01/2012,31/12/2500
02089010,122,01/01/1988,31/12/2500
02089020,122,01/01/1993,31/12/2007
02089030,122,01/01/2008,31/12/2500
02089040,122,01/01/1993,31/12/2007
02089050,122,01/01/1988,31/12/2001
02089055,122,01/01/2002,31/12/2011
02089060,122,01/01/1996,31/12/2500
02089070,122,01/01/2007,31/12/2500
02089080,122,01/01/1996,31/12/2001
02089090,122,01/01/1988,31/12/1995
02089095,122,01/01/2002,31/12/2011
02089098,122,01/01/2012,31/12/2500
02090011,121,01/01/1988,31/12/2011
02090019,121,01/01/1988,31/12/2011
02090030,121,01/01/1988,31/12/2011
02090090,121,01/01/1988,31/12/2011
02091011,121,01/01/2012,31/12/2500
02091019,121,01/01/2012,31/12/2500
02091090,121,01/01/2012,31/12/2500
02099000,121,01/01/2012,31/12/2500
02101111,122,01/01/1988,31/12/2500
02101119,122,01/01/1988,31/12/2500
02101131,122,01/01/1988,31/12/2500
02101139,122,01/01/1988,31/12/2500
02101190,122,01/01/1988,31/12/2500
02101211,122,01/01/1988,31/12/2500
02101219,122,01/01/1988,31/12/2500
02101290,122,01/01/1988,31/12/2500
02101910,122,01/01/1988,31/12/2500
02101920,122,01/01/1988,31/12/2500
02101930,122,01/01/1988,31/12/2500
02101940,122,01/01/1988,31/12/2500
02101950,122,01/01/2005,31/12/2500
02101951,122,01/01/1988,31/12/2004
02101959,122,01/01/1988,31/12/2004
02101960,122,01/01/1988,31/12/2500
02101970,122,01/01/1988,31/12/2500
02101981,122,01/01/1988,31/12/2500
02101989,122,01/01/1988,31/12/2500
02101990,122,01/01/1988,31/12/2500
02102010,122,01/01/1988,31/12/2500
02102090,122,01/01/1988,31/12/2500
02109010,122,01/01/1988,31/12/2001
02109011,122,01/01/1988,31/12/2001
02109019,122,01/01/1988,31/12/2001
02109020,122,01/01/1988,31/12/1995
02109021,122,01/01/1996,31/12/2001
02109029,122,01/01/1996,31/12/2001
02109031,122,01/01/1988,31/12/2001
02109039,122,01/01/1988,31/12/2001
02109041,122,01/01/1988,31/12/2001
02109049,122,01/01/1988,31/12/2001
02109060,122,01/01/1988,31/12/2001
02109071,122,01/01/1988,31/12/2001
02109079,122,01/01/1988,31/12/2001
02109080,122,01/01/1988,31/12/2001
02109090,122,01/01/1988,31/12/2001
02109100,122,01/01/2002,31/12/2500
02109200,122,01/01/2002,31/12/2011
02109210,122,01/01/2012,31/12/2500
02109291,122,01/01/2012,31/12/2500
