"NACE Rev. 2 Code","Level","Superior"
"A",1,NA
"B",1,NA
"C",1,NA
"D",1,NA
"E",1,NA
"F",1,NA
"G",1,NA
"H",1,NA
"I",1,NA
"J",1,NA
"K",1,NA
"L",1,NA
"M",1,NA
"N",1,NA
"O",1,NA
"P",1,NA
"Q",1,NA
"R",1,NA
"S",1,NA
"T",1,NA
"U",1,NA
"24.44",4,"24.4"
"24.45",4,"24.4"
"24.46",4,"24.4"
"24.51",4,"24.5"
"24.52",4,"24.5"
"24.53",4,"24.5"
"24.54",4,"24.5"
"25.11",4,"25.1"
"25.12",4,"25.1"
"25.21",4,"25.2"
"25.29",4,"25.2"
"25.30",4,"25.3"
"25.40",4,"25.4"
"25.50",4,"25.5"
"25.61",4,"25.6"
"25.62",4,"25.6"
"25.71",4,"25.7"
"25.72",4,"25.7"
"25.73",4,"25.7"
"25.91",4,"25.9"
"25.92",4,"25.9"
"25.93",4,"25.9"
"25.94",4,"25.9"
"25.99",4,"25.9"
"26.11",4,"26.1"
"26.12",4,"26.1"
"26.20",4,"26.2"
"26.30",4,"26.3"
"26.40",4,"26.4"
"26.51",4,"26.5"
"26.52",4,"26.5"
"26.60",4,"26.6"
"26.70",4,"26.7"
"26.80",4,"26.8"
"27.11",4,"27.1"
"27.12",4,"27.1"
"27.20",4,"27.2"
"27.31",4,"27.3"
"27.32",4,"27.3"
"27.33",4,"27.3"
"27.40",4,"27.4"
"27.51",4,"27.5"
"27.52",4,"27.5"
"27.90",4,"27.9"
"28.11",4,"28.1"
"28.12",4,"28.1"
"28.13",4,"28.1"
"28.14",4,"28.1"
"28.15",4,"28.1"
"28.21",4,"28.2"
"28.22",4,"28.2"
"28.23",4,"28.2"
"28.24",4,"28.2"
"28.25",4,"28.2"
"28.29",4,"28.2"
"28.30",4,"28.3"
"28.41",4,"28.4"
"28.49",4,"28.4"
"28.91",4,"28.9"
"28.92",4,"28.9"
"28.93",4,"28.9"
"28.94",4,"28.9"
"28.95",4,"28.9"
"28.96",4,"28.9"
"28.99",4,"28.9"
"29.10",4,"29.1"
"29.20",4,"29.2"
"29.31",4,"29.3"
"29.32",4,"29.3"
"30.11",4,"30.1"
"30.12",4,"30.1"
"30.20",4,"30.2"
"30.30",4,"30.3"
"30.40",4,"30.4"
"30.91",4,"30.9"
"30.92",4,"30.9"
"30.99",4,"30.9"
"31.01",4,"31.0"
"31.02",4,"31.0"
"31.03",4,"31.0"
"31.09",4,"31.0"
"32.11",4,"32.1"
"32.12",4,"32.1"
"32.13",4,"32.1"
"32.20",4,"32.2"
"32.30",4,"32.3"
"32.40",4,"32.4"
"32.50",4,"32.5"
"32.91",4,"32.9"
"32.99",4,"32.9"
"33.11",4,"33.1"
"33.12",4,"33.1"
"33.13",4,"33.1"
"33.14",4,"33.1"
"33.15",4,"33.1"
"33.16",4,"33.1"
"33.17",4,"33.1"
"33.19",4,"33.1"
"33.20",4,"33.2"
"35.11",4,"35.1"
"35.12",4,"35.1"
"35.13",4,"35.1"
"35.14",4,"35.1"
"35.21",4,"35.2"
"35.22",4,"35.2"
"35.23",4,"35.2"
"35.30",4,"35.3"
"36.00",4,"36.0"
"37.00",4,"37.0"
"38.11",4,"38.1"
"38.12",4,"38.1"
"38.21",4,"38.2"
"38.22",4,"38.2"
"38.31",4,"38.3"
"38.32",4,"38.3"
"39.00",4,"39.0"
"41.10",4,"41.1"
"41.20",4,"41.2"
"42.11",4,"42.1"
"42.12",4,"42.1"
"42.13",4,"42.1"
"42.21",4,"42.2"
"42.22",4,"42.2"
