CN 2021,CN 2022,CNKEY,TYPE,CN2021_Deleted codes,CN2021_Reused Code
03025411,03025411,030254110080,,,
03025415,03025415,030254150080,,,
03025419,03025419,030254190080,,,
03025490,03025490,030254900080,,,
03025500,03025500,030255000080,,,
03025600,03025600,030256000080,,,
03025910,03025910,030259100080,,,
03025920,03025920,030259200080,,,
03025930,03025930,030259300080,,,
03025940,03025940,030259400080,,,
03025990,03025990,030259900080,,,
03027100,03027100,030271000080,,,
03027200,03027200,030272000080,,,
03027300,03027300,030273000080,,,
03027400,03027400,030274000080,,,
03027900,03027900,030279000080,,,
03028115,03028115,030281150080,,,
03028130,03028130,030281300080,,,
03028140,03028140,030281400080,,,
03028180,03028180,030281800080,,,
03028200,03028200,030282000080,,,
03028300,03028300,030283000080,,,
03028410,03028410,030284100080,,,
03028490,03028490,030284900080,,,
03028510,03028510,030285100080,,,
03028530,03028530,030285300080,,,
03028590,03028590,030285900080,,,
03028910,03028910,030289100080,,,
03028921,03028921,030289210080,,,
03028929,03028929,030289290080,,,
03028931,03028931,030289310080,,,
03028939,03028939,030289390080,,,
03028940,03028940,030289400080,,,
03028950,03028950,030289500080,,,
03028960,03028960,030289600080,,,
03028990,03028990,030289900080,,,
03029100,03029100,030291000080,,,
03029200,03029200,030292000080,,,
03029900,03029900,030299000080,,,
03031100,03031100,030311000080,,,
03031200,03031200,030312000080,,,
03031300,03031300,030313000080,,,
03031410,03031410,030314100080,,,
03031420,03031420,030314200080,,,
03031490,03031490,030314900080,,,
03031900,03031900,030319000080,,,
03032300,03032300,030323000080,,,
03032400,03032400,030324000080,,,
03032500,03032500,030325000080,,,
03032600,03032600,030326000080,,,
03032900,03032900,030329000080,,,
03033110,03033110,030331100080,,,
03033130,03033130,030331300080,,,
03033190,03033190,030331900080,,,
03033200,03033200,030332000080,,,
03033300,03033300,030333000080,,,
03033400,03033400,030334000080,,,
03033910,03033910,030339100080,,,
03033930,03033930,030339300080,,,
03033950,03033950,030339500080,,,
03033985,03033985,030339850080,,,
03034110,03034110,030341100080,,,
03034190,03034190,030341900080,,,
03034220,03034220,030342200080,,,
03034290,03034290,030342900080,,,
03034310,03034310,030343100080,,,
03034390,03034390,030343900080,,,
03034410,03034410,030344100080,,,
03034490,03034490,030344900080,,,
03034512,03034512,030345120080,,,
03034518,03034518,030345180080,,,
03034591,03034591,030345910080,,,
03034599,03034599,030345990080,,,
03034610,03034610,030346100080,,,
03034690,03034690,030346900080,,,
03034920,03034920,030349200080,,,
03034985,03034985,030349850080,,,
03035100,03035100,030351000080,,,
03035310,03035310,030353100080,,,
03035330,03035330,030353300080,,,
03035390,03035390,030353900080,,,
03035410,03035410,030354100080,,,
03035490,03035490,030354900080,,,
03035510,03035510,030355100080,,,
03035530,03035530,030355300080,,,
03035590,03035590,030355900080,,,
03035600,03035600,030356000080,,,
03035700,03035700,030357000080,,,
03035910,03035910,030359100080,,,
03035921,03035921,030359210080,,,
03035929,03035929,030359290080,,,
03035990,03035990,030359900080,,,
03036310,03036310,030363100080,,,
03036330,03036330,030363300080,,,
03036390,03036390,030363900080,,,
03036400,03036400,030364000080,,,
03036500,03036500,030365000080,,,
03036611,03036611,030366110080,,,
03036612,03036612,030366120080,,,
03036613,03036613,030366130080,,,
03036619,03036619,030366190080,,,
03036690,03036690,030366900080,,,
03036700,03036700,030367000080,,,
03036810,03036810,030368100080,,,
03036890,03036890,030368900080,,,
03036910,03036910,030369100080,,,
03036930,03036930,030369300080,,,
03036950,03036950,030369500080,,,
03036970,03036970,030369700080,,,
03036980,03036980,030369800080,,,
03036990,03036990,030369900080,,,
03038115,03038115,030381150080,,,
03038130,03038130,030381300080,,,
03038140,03038140,030381400080,,,
03038190,03038190,030381900080,,,
03038200,03038200,030382000080,,,
03038300,03038300,030383000080,,,
03038410,03038410,030384100080,,,
03038490,03038490,030384900080,,,
03038910,03038910,030389100080,,,
03038921,03038921,030389210080,,,
03038929,03038929,030389290080,,,
03038931,03038931,030389310080,,,
03038939,03038939,030389390080,,,
03038940,03038940,030389400080,,,
03038950,03038950,030389500080,,,
03038955,03038955,030389550080,,,
03038960,03038960,030389600080,,,
03038965,03038965,030389650080,,,
03038970,03038970,030389700080,,,
03038990,03038990,030389900080,,,
03039110,03039110,030391100080,,,
03039190,03039190,030391900080,,,
03039200,03039200,030392000080,,,
03039900,03039900,030399000080,,,
03043100,03043100,030431000080,,,
03043200,03043200,030432000080,,,
03043300,03043300,030433000080,,,
03043900,03043900,030439000080,,,
03044100,03044100,030441000080,,,
03044210,03044210,030442100080,,,
03044250,03044250,030442500080,,,
03044290,03044290,030442900080,,,
03044300,03044300,030443000080,,,
03044410,03044410,030444100080,,,
03044430,03044430,030444300080,,,
03044490,03044490,030444900080,,,
03044500,03044500,030445000080,,,
03044600,03044600,030446000080,,,
03044710,03044710,030447100080,,,
03044720,03044720,030447200080,,,
03044730,03044730,030447300080,,,
03044790,03044790,030447900080,,,
03044800,03044800,030448000080,,,
03044910,03044910,030449100080,,,
03044950,03044950,030449500080,,,
03044990,03044990,030449900080,,,
03045100,03045100,030451000080,,,
03045200,03045200,030452000080,,,
03045300,03045300,030453000080,,,
03045400,03045400,030454000080,,,
03045500,03045500,030455000080,,,
03045610,03045610,030456100080,,,
03045620,03045620,030456200080,,,
03045630,03045630,030456300080,,,
03045690,03045690,030456900080,,,
03045700,03045700,030457000080,,,
03045910,03045910,030459100080,,,
03045950,03045950,030459500080,,,
03045990,03045990,030459900080,,,
03046100,03046100,030461000080,,,
03046200,03046200,030462000080,,,
03046300,03046300,030463000080,,,
03046900,03046900,030469000080,,,
03047110,03047110,030471100080,,,
03047190,03047190,030471900080,,,
03047200,03047200,030472000080,,,
03047300,03047300,030473000080,,,
03047411,03047411,030474110080,,,
03047415,03047415,030474150080,,,
03047419,03047419,030474190080,,,
03047490,03047490,030474900080,,,
03047500,03047500,030475000080,,,
03047910,03047910,030479100080,,,
03047930,03047930,030479300080,,,
03047950,03047950,030479500080,,,
03047980,03047980,030479800080,,,
03047990,03047990,030479900080,,,
03048100,03048100,030481000080,,,
03048210,03048210,030482100080,,,
03048250,03048250,030482500080,,,
03048290,03048290,030482900080,,,
03048310,03048310,030483100080,,,
03048330,03048330,030483300080,,,
03048350,03048350,030483500080,,,
03048390,03048390,030483900080,,,
03048400,03048400,030484000080,,,
03048500,03048500,030485000080,,,
03048600,03048600,030486000080,,,
03048700,03048700,030487000080,,,
03048811,03048811,030488110080,,,
03048815,03048815,030488150080,,,
03048818,03048818,030488180080,,,
03048819,03048819,030488190080,,,
03048890,03048890,030488900080,,,
03048910,03048910,030489100080,,,
03048921,03048921,030489210080,,,
03048929,03048929,030489290080,,,
03048930,03048930,030489300080,,,
03048941,03048941,030489410080,,,
03048949,03048949,030489490080,,,
03048960,03048960,030489600080,,,
03048990,03048990,030489900080,,,
03049100,03049100,030491000080,,,
03049200,03049200,030492000080,,,
03049310,03049310,030493100080,,,
03049390,03049390,030493900080,,,
03049410,03049410,030494100080,,,
03049490,03049490,030494900080,,,
03049510,03049510,030495100080,,,
03049521,03049521,030495210080,,,
03049525,03049525,030495250080,,,
03049529,03049529,030495290080,,,
03049530,03049530,030495300080,,,
03049540,03049540,030495400080,,,
03049550,03049550,030495500080,,,
03049560,03049560,030495600080,,,
03049590,03049590,030495900080,,,
03049610,03049610,030496100080,,,
03049620,03049620,030496200080,,,
03049630,03049630,030496300080,,,
03049690,03049690,030496900080,,,
03049700,03049700,030497000080,,,
03049910,03049910,030499100080,,,
03049921,03049921,030499210080,,,
03049923,03049923,030499230080,,,
03049929,03049929,030499290080,,,
03049955,03049955,030499550080,,,
03049961,03049961,030499610080,,,
03049965,03049965,030499650080,,,
03049999,03049999,030499990080,,,
03051000,03091000,030510000080,-,0305 10 00,
03052000,03052000,030520000080,,,
03053100,03053100,030531000080,,,
03053211,03053211,030532110080,,,
03053219,03053219,030532190080,,,
03053290,03053290,030532900080,,,
03053910,03053910,030539100080,,,
03053950,03053950,030539500080,,,
03053990,03053990,030539900080,,,
03054100,03054100,030541000080,,,
03054200,03054200,030542000080,,,
03054300,03054300,030543000080,,,
03054410,03054410,030544100080,,,
03054490,03054490,030544900080,,,
03054910,03054910,030549100080,,,
03054920,03054920,030549200080,,,
03054930,03054930,030549300080,,,
03054980,03054980,030549800080,,,
03055110,03055110,030551100080,,,
03055190,03055190,030551900080,,,
03055200,03055200,030552000080,,,
03055310,03055310,030553100080,,,
03055390,03055390,030553900080,,,
03055430,03055430,030554300080,,,
03055450,03055450,030554500080,,,
03055490,03055490,030554900080,,,
03055970,03055970,030559700080,,,
03055985,03055985,030559850080,,,
03056100,03056100,030561000080,,,
03056200,03056200,030562000080,,,
03056300,03056300,030563000080,,,
03056400,03056400,030564000080,,,
03056910,03056910,030569100080,,,
03056930,03056930,030569300080,,,
03056950,03056950,030569500080,,,
03056980,03056980,030569800080,,,
03057100,03057100,030571000080,,,
03057200,03057200,030572000080,,,
03057900,03057900,030579000080,,,
03061110,03061110,030611100080,,,
03061190,03061190,030611900080,,,
03061210,03061210,030612100080,,,
03061290,03061290,030612900080,,,
03061410,03061410,030614100080,,,
03061430,03061430,030614300080,,,
03061490,03061490,030614900080,,,
03061500,03061500,030615000080,,,
03061691,03061691,030616910080,,,
03061699,03061699,030616990080,,,
03061791,03061791,030617910080,,,
03061792,03061792,030617920080,,,
03061793,03061793,030617930080,,,
03061794,03061794,030617940080,,,
03061799,03061799,030617990080,,,
03061910,03061910,030619100080,,,
03061990,03061990,030619900080,-,,0306 19 90
03061990,03099000,030619900080,ex,,0306 19 90
03063100,03063100,030631000080,,,
03063210,03063210,030632100080,,,
03063291,03063291,030632910080,,,
03063299,03063299,030632990080,,,
03063310,03063310,030633100080,,,
03063390,03063390,030633900080,,,
03063400,03063400,030634000080,,,
03063510,03063510,030635100080,,,
03063550,03063550,030635500080,,,
03063590,03063590,030635900080,,,
03063610,03063610,030636100080,,,
03063650,03063650,030636500080,,,
03063690,03063690,030636900080,,,
03063910,03063910,030639100080,,,
03063990,03099000,030639900080,ex,,0306 39 90
03063990,03063990,030639900080,-,,0306 39 90
03069100,03069100,030691000080,,,
03069210,03069210,030692100080,,,
03069290,03069290,030692900080,,,
03069310,03069310,030693100080,,,
03069390,03069390,030693900080,,,
03069400,03069400,030694000080,,,
03069511,03069511,030695110080,,,
03069519,03069519,030695190080,,,
03069520,03069520,030695200080,,,
03069530,03069530,030695300080,,,
03069540,03069540,030695400080,,,
03069590,03069590,030695900080,,,
03069910,03069910,030699100080,,,
03069990,03069990,030699900080,-,,0306 99 90
03069990,03099000,030699900080,ex,,0306 99 90
03071110,03071110,030711100080,,,
03071190,03071190,030711900080,,,
03071200,03071200,030712000080,,,
03071900,03071900,030719000080,,,
03072100,03072110,030721000080,-,0307 21 00,
03072210,03072210,030722100080,,,
